baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,technical,result,show_stopper
Selasi,30,Client service associate,London,7,3,"Chocolate, Orange and Cinnamon Bread",5,IN,Bedouin Escape Tear and Share Bread
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,3,Double Chocolate Cinnamon Twist Loaf,1,IN,"""And They All Went Into The Ark To Get Out Of The Rain"""
Michael,20,Student,Durham,7,3,Chocolate and Chilli Swirl Plait,7,OUT,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
Tom,26,Project engagement manager,Rochdale,7,3,Chocolate Orange and Chilli Swirl Bread,4,STAR BAKER,Jörmungandr and Mjölnir
Lee,67,Pastor,Bolton,7,3,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,3,NA,NA,NA,NA
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,4,Yorkshire 'Tapas' Puddings,4,IN,Churros Window Box
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,4,Yorkshire Wellingtons,2,IN,Two-Way Peanut Butter Churros
Jane,61,Garden designer,Beckenham,7,4,Meat and Two Veg Yorkshires,3,IN,Pistachio and White Chocolate Churros
Rav,28,Student support,Erith,7,4,Thai Tofu Panang Yorkshires,9,IN,Three Dip Matcha Pistachio Churros
Selasi,30,Client service associate,London,7,4,Perfect Sunday Roast Accompaniment,8,IN,Lemon and Anise Churros
Tom,26,Project engagement manager,Rochdale,7,4,West Yorkshire Fusion Puddings,5,IN,Fennel Churros Snake In The Grass
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,4,Mum's Chilli Yorkshire Puddings,6,IN,Orange Chocolate Churros
Kate,37,Nurse,"Brooke, Norfolk",7,4,Christmas Dinner Compromise,7,OUT,Hot Cross Bunny Churros
Benjamina,23,Teaching assistant,South London,7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1,STAR BAKER,Tropical Churros
Lee,67,Pastor,Bolton,7,4,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,4,NA,NA,NA,NA
Michael,20,Student,Durham,7,4,NA,NA,NA,NA
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,5,Mum and Dad's Breakfast Pastries,6,IN,Spicy Chorizo Squash Parcels and Baklava Bites
Benjamina,23,Teaching assistant,South London,7,5,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,5,IN,Plantain and Spinach Samosas and Chai Pear Cups
Jane,61,Garden designer,Beckenham,7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1,IN,"Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
Rav,28,Student support,Erith,7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8,IN,Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
Selasi,30,Client service associate,London,7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3,IN,"Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
Tom,26,Project engagement manager,Rochdale,7,5,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,4,IN,Yin and Yang Amuse-bouche
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7,OUT,"Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2,STAR BAKER,"Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
Kate,37,Nurse,"Brooke, Norfolk",7,5,NA,NA,NA,NA
Lee,67,Pastor,Bolton,7,5,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,5,NA,NA,NA,NA
Michael,20,Student,Durham,7,5,NA,NA,NA,NA
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,6,Tangy Lime and Ginger Meringue Pie,6,IN,Spring Elderflower Trio
Benjamina,23,Teaching assistant,South London,7,6,Grapefruit and Ginger Meringue Pie,2,IN,Floral Tea Cake
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,6,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5,IN,Four Seasons Cake
Jane,61,Garden designer,Beckenham,7,6,Lime and Coconut Meringue Pie,4,IN,Three Tier Orange Cake with a Floral Chocolate Collar
Selasi,30,Client service associate,London,7,6,"Grapefruit, Orange and Mint Meringue Pie",7,IN,Three Tiered Ombré Floral Cake
Rav,28,Student support,Erith,7,6,Mandarin Margarita Meringue Pie,3,OUT,Blossom Cake
Tom,26,Project engagement manager,Rochdale,7,6,Blood Orange Halloween Pumpkin Pie,1,STAR BAKER,Floral Tea Cake
Kate,37,Nurse,"Brooke, Norfolk",7,6,NA,NA,NA,NA
Lee,67,Pastor,Bolton,7,6,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,6,NA,NA,NA,NA
Michael,20,Student,Durham,7,6,NA,NA,NA,NA
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,6,NA,NA,NA,NA
Benjamina,23,Teaching assistant,South London,7,7,Piña Colada Roulade,3,IN,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,7,Crowd Pleaser Roulade,2,IN,Blackberry and Raspberry Bubbles and After Dinner Mousse
Jane,61,Garden designer,Beckenham,7,7,Chocolate and Hazelnut Roulade,4,IN,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
Selasi,30,Client service associate,London,7,7,Summer Picnic Roulade,6,IN,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
Tom,26,Project engagement manager,Rochdale,7,7,Millionaire's Roulade,5,OUT,Hipster Picnic
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,7,Tropical Holiday Roulade,1,STAR BAKER,Childhood Ice Cream Mousse Cakes
Kate,37,Nurse,"Brooke, Norfolk",7,7,NA,NA,NA,NA
Lee,67,Pastor,Bolton,7,7,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,7,NA,NA,NA,NA
Michael,20,Student,Durham,7,7,NA,NA,NA,NA
Rav,28,Student support,Erith,7,7,NA,NA,NA,NA
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,7,NA,NA,NA,NA
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,8,Da Vinci Inspired Geared Pies,2,IN,Jousting Knights Marchpane
Jane,61,Garden designer,Beckenham,7,8,Tudor Rose Pies,5,IN,Swans
Selasi,30,Client service associate,London,7,8,Bouquet of Flowers,3,IN,Fruity Tudor Marchpane
Benjamina,23,Teaching assistant,South London,7,8,Mexican Adventure,4,OUT,Tudor Garden
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,8,Cheesy Cheeky Fish Pies,1,STAR BAKER,Peacock
Kate,37,Nurse,"Brooke, Norfolk",7,8,NA,NA,NA,NA
Lee,67,Pastor,Bolton,7,8,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,8,NA,NA,NA,NA
Michael,20,Student,Durham,7,8,NA,NA,NA,NA
Rav,28,Student support,Erith,7,8,NA,NA,NA,NA
Tom,26,Project engagement manager,Rochdale,7,8,NA,NA,NA,NA
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,8,NA,NA,NA,NA
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,9,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",3,IN,Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
Jane,61,Garden designer,Beckenham,7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",1,IN,Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
Selasi,30,Client service associate,London,7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",4,OUT,Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,9,Cheesy Elephant Ears and Herby Treble Clefs,2,STAR BAKER,Philharmonic Fondants
Benjamina,23,Teaching assistant,South London,7,9,NA,NA,NA,NA
Kate,37,Nurse,"Brooke, Norfolk",7,9,NA,NA,NA,NA
Lee,67,Pastor,Bolton,7,9,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,9,NA,NA,NA,NA
Michael,20,Student,Durham,7,9,NA,NA,NA,NA
Rav,28,Student support,Erith,7,9,NA,NA,NA,NA
Tom,26,Project engagement manager,Rochdale,7,9,NA,NA,NA,NA
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,9,NA,NA,NA,NA
Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,10,Crunchy Caramel Cassis Crown,1,Runner-up,Family and Friends' Favourites Picnic
Jane,61,Garden designer,Beckenham,7,10,"Red, White and Blue Meringue Crown",3,Runner-up,Family Favourites Feast
Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,10,Queen Victoria's Mango and Strawberry Crown,2,WINNER,Picnic for Pearly Kings and Queens
Benjamina,23,Teaching assistant,South London,7,10,NA,NA,NA,NA
Kate,37,Nurse,"Brooke, Norfolk",7,10,NA,NA,NA,NA
Lee,67,Pastor,Bolton,7,10,NA,NA,NA,NA
Louise,46,Hairdresser,Cardiff,7,10,NA,NA,NA,NA
Michael,20,Student,Durham,7,10,NA,NA,NA,NA
Rav,28,Student support,Erith,7,10,NA,NA,NA,NA
Selasi,30,Client service associate,London,7,10,NA,NA,NA,NA
Tom,26,Project engagement manager,Rochdale,7,10,NA,NA,NA,NA
Val,66,"Semi-retired, Substitute teacher",Yeovil,7,10,NA,NA,NA,NA
Chris,50,Software developer,Bristol,8,1,Tropical Fresh Fruit Cake,12,IN,'Raised Pork Pie and Egg Surprise' Cake
Flo,71,Retired,Merseyside,8,1,Citrus Layer Cake,9,IN,'One in a Melon' Cake
James,46,Banker,"Brentwood, Essex",8,1,"Orange, Rhubarb & Ginger Crumble Cake",2,IN,'Mock-accino and Croissant' Cake
Julia,21,Aviation Broker,"Crawley, West Sussex",8,1,Courgette and Lemon Cake,3,IN,'Russian Doll' Cake
Kate,29,Health and safety inspector,Merseyside,8,1,Moroccan Strawberry and Rose Cake,1,IN,'Chocolate Terrarium' Cake
Liam,19,Student,North London,8,1,Apple and Almond Crumble Maple Loaf,8,IN,'Stackin' Sunday' Cake
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,1,Pineapple and Coconut Sandwich Cake,5,IN,'Champagne Bottle and Bucket' Cake
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,1,Granny Smith Apple and Walnut Cake,11,IN,'Black Evening Clutch Bag' Cake
Tom,29,Architect,Edinburgh,8,1,Gilded Pear and Cardamom Cake,7,IN,'Stack of Books' Cake
Yan,46,Laboratory research scientist,North London,8,1,Windfall Apple Crumble Cake,4,IN,'Banana-ramen' Cake
Peter,52,IT programme manager,"Southend, Essex",8,1,Coconut Cake,10,OUT,'Bread on a Breadboard' Cake
Steven,34,Marketer,"Watford, Hertfordshire",8,1,Bonfire Night Cake,6,STAR BAKER,'A Baker's Lunch' Cake
Flo,71,Retired,Merseyside,8,2,Gin Jam Butties,10,IN,'Pick My Bones' Game
James,46,Banker,"Brentwood, Essex",8,2,Rhubarb and Custard Whirls,3,IN,'Coppit' Game
Julia,21,Aviation Broker,"Crawley, West Sussex",8,2,Middle Eastern Delight Sandwich Biscuits,4,IN,'A British Baking' Game
Kate,29,Health and safety inspector,Merseyside,8,2,Coconut Seashells for a Titanic Afternoon Tea,8,IN,'Jungle' Game
Liam,19,Student,North London,8,2,Coffee Malted Pecan Shorties,7,IN,'Classroom Classics' Game
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,2,Lemon Limoncino Sandwich Biscuits,2,IN,'Snakes and Ladders' Game
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,2,Sparkly Chocolate and Marshmallow Fluff Cookies,9,IN,'Get to School' Game
Tom,29,Architect,Edinburgh,8,2,Coffee and Amaretto Kisses,5,IN,'Drain Pipes and Ladders' Game
Yan,46,Laboratory research scientist,North London,8,2,'Mrs. Marian's PB 'n' B' Biscuits,1,IN,'Adventures in Bakeland' Game
Chris,50,Software developer,Bristol,8,2,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,11,OUT,'The Great British Sail Off' Game
Steven,34,Marketer,"Watford, Hertfordshire",8,2,Amarpressi Biscuits,6,STAR BAKER,'Check Bake' Game
Peter,52,IT programme manager,"Southend, Essex",8,2,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,3,Nordic Teacakes,9,IN,'Owl in the Woods' Bread Sculpture
Kate,29,Health and safety inspector,Merseyside,8,3,Blueberry Buns,10,IN,'Kraken' Bread Sculpture
Liam,19,Student,North London,8,3,Jamaican Spiced Teacakes,5,IN,'Kneadapolitan' Bread Sculpture
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,3,Tagine Teacakes,6,IN,'Picnic Basket' Bread Sculpture
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,3,Cranberry and Cinnamon Teacakes,1,IN,'Ascot Hat' Bread Sculpture
Steven,34,Marketer,"Watford, Hertfordshire",8,3,Madras Cocktail Teacakes,3,IN,'The Bag I Knead' Bread Sculpture
Tom,29,Architect,Edinburgh,8,3,Orange and Cranberry Teacakes,4,IN,'Pink & Yellow Rose Centrepiece' Bread Sculpture
Yan,46,Laboratory research scientist,North London,8,3,'Mrs P's' Masala Chai Spiced Teacakes,8,IN,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
Flo,71,Retired,Merseyside,8,3,Cinnamon and Orange Teacakes,7,OUT,'Davy Jones' Locker' Bread Sculpture
Julia,21,Aviation Broker,"Crawley, West Sussex",8,3,Earl Grey Dried Fruit Teacakes,2,STAR BAKER,'The Snail Under a Mushroom' Bread Sculpture
Chris,50,Software developer,Bristol,8,3,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,3,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,4,'Windy City' Millionaire Shortbreads,2,IN,Nutty Caramel Cake
Julia,21,Aviation Broker,"Crawley, West Sussex",8,4,Pecan Salted Caramel Millionaire Shortbreads,9,IN,Poppy Seed Caramel Cake
Liam,19,Student,North London,8,4,Salted Peanut Butter Millionaire Shortbreads,3,IN,White Layered Ginger Caramel Cake
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,4,Jaffa Millionaire Shortbreads,4,IN,Bird's Nest Caramel Cake
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,4,Rum Salted Caramel Millionaire Shortbreads,1,IN,Chocolate and Coffee Caramel Cake
Steven,34,Marketer,"Watford, Hertfordshire",8,4,Orange Macadamia Nut Millionaire Shortbreads,7,IN,Caramel Crown Cake
Yan,46,Laboratory research scientist,North London,8,4,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8,IN,Animals of the Rainforest Caramel Cake
Tom,29,Architect,Edinburgh,8,4,Stem Ginger Caramel Shortbreads,5,OUT,Hummingbird Cake
Kate,29,Health and safety inspector,Merseyside,8,4,Salted Bay Caramel Millionaire Shortbreads,6,STAR BAKER,Sticky Toffee Apple Caramel Cake
Chris,50,Software developer,Bristol,8,4,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,4,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,4,NA,NA,NA,NA
Julia,21,Aviation Broker,"Crawley, West Sussex",8,5,Orange & Treacle Steamed School Pudding,3,IN,'Opulent Ornament' Trifle Terrine
Kate,29,Health and safety inspector,Merseyside,8,5,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,8,IN,'My Great Great Nan's' Raspberry Trifle Terrine
Liam,19,Student,North London,8,5,Cherries & Lemons that are 'Baked Well',2,IN,'Cheers Lads' Trifle Terrine
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,5,Bakewell Tart Steamed School Pudding,4,IN,Tropical Trifle Terrine
Steven,34,Marketer,"Watford, Hertfordshire",8,5,Lemon & Blackcurrant Drizzle Steamed School Pudding,5,IN,'From Across the Jelly Pond' Trifle Terrine
Yan,46,Laboratory research scientist,North London,8,5,Mango Fruit Hat Steamed School Pudding,6,IN,'Heart of a Hero' Trifle Terrine
James,46,Banker,"Brentwood, Essex",8,5,Orange and Ginger Steamed School Pudding,7,OUT,'The Missed Silver Jubilee' Trifle Terrine
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,5,"Ginger, Fig and Honey Steamed School Pudding",1,STAR BAKER,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
Chris,50,Software developer,Bristol,8,5,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,5,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,5,NA,NA,NA,NA
Tom,29,Architect,Edinburgh,8,5,NA,NA,NA,NA
Kate,29,Health and safety inspector,Merseyside,8,6,'Vegetarian Pie Faces' Decorative Pies,5,IN,Potato Curry Pie with Mango & Chilli Glaze
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,6,'The Four Seasons' Decorative Pies,2,IN,Game Pie with Glazed Forest Fruits
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,6,'Love Theme' Decorative Pies,6,IN,Indian Hand Raised Pie with Mango
Steven,34,Marketer,"Watford, Hertfordshire",8,6,'Fleetwood Mac' Decorative Pies,3,IN,Christmas Pie
Yan,46,Laboratory research scientist,North London,8,6,'πr2' Decorative Pies,1,IN,Chequerboard Pie
Julia,21,Aviation Broker,"Crawley, West Sussex",8,6,'Pies from the Tree' Decorative Pies,7,OUT,'Special Occasion' Pie
Liam,19,Student,North London,8,6,'Standard FC' Decorative Pies,4,STAR BAKER,'Nan's Sunday Dinner' Pie
Chris,50,Software developer,Bristol,8,6,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,6,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,6,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,6,NA,NA,NA,NA
Tom,29,Architect,Edinburgh,8,6,NA,NA,NA,NA
Kate,29,Health and safety inspector,Merseyside,8,7,'Happy Hour' Cocktail Cannoli,6,IN,'Flavour Fusion' Sfogliatelle
Liam,19,Student,North London,8,7,'Just Doing Me' Cannoli,2,IN,'Morning Delivery' Sfogliatelle
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,7,'Classics with a Twist' Cannoli,3,IN,'Classics' Sfogliatelle
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,7,My All Time Favourite Desserts,4,IN,Pastry Surprise
Yan,46,Laboratory research scientist,North London,8,7,Cannoli Cocktails,5,OUT,Canadian-Style Sfogliatelle
Steven,34,Marketer,"Watford, Hertfordshire",8,7,Italian Style Cannoli,1,STAR BAKER,'Sicilian-style' Sfogliatelle
Chris,50,Software developer,Bristol,8,7,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,7,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,7,NA,NA,NA,NA
Julia,21,Aviation Broker,"Crawley, West Sussex",8,7,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,7,NA,NA,NA,NA
Tom,29,Architect,Edinburgh,8,7,NA,NA,NA,NA
Kate,29,Health and safety inspector,Merseyside,8,8,Burrito Bedfordshire Clangers,2,IN,'Liver Building Turret' Savoy Cake
Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,8,Char Siu & Banana Praline Bedfordshire Clangers,4,IN,Citrus with Green Apple Croquembouche Savoy Cake
Steven,34,Marketer,"Watford, Hertfordshire",8,8,'Mediterranean Medley' Bedfordshire Clangers,1,IN,Chestnut Rum Savoy Cake
Liam,19,Student,North London,8,8,'Take Out' Bedfordshire Clangers,5,OUT,'Fort Wizardore' Savoy Cake
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,8,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3,STAR BAKER,'Bright' Lemon & Orange Savoy Cake
Chris,50,Software developer,Bristol,8,8,NA,NA,NA,NA
Flo,71,Retired,Merseyside,8,8,NA,NA,NA,NA
James,46,Banker,"Brentwood, Essex",8,8,NA,NA,NA,NA
Julia,21,Aviation Broker,"Crawley, West Sussex",8,8,NA,NA,NA,NA
Peter,52,IT programme manager,"Southend, Essex",8,8,NA,NA,NA,NA
Tom,29,Architect,Edinburgh,8,8,NA,NA,NA,NA
Yan,46,Laboratory research scientist,North London,8,8,NA,NA,NA,NA
Kate,29,Health and safety inspector,Merseyside,8,9,Bellini and Valencian Orange Choux Buns,4,IN,'Rainbow' Meringue Centrepiece
Steven,34,Marketer,"Watford, Hertfordshire",8,9,Key Lime Cheesecake and Bakewell Tart Choux Buns,3,IN,'Some Air Over the Rainbow' Meringue Centrepiece
Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,9,'Choux-nicorn and Choux-moji' Choux Buns,2,OUT,'Flamingos in Love' Meringue Centrepiece
